imagem,grupo_0_percentual,grupo_1_percentual,grupo_2_percentual,grupo_3_percentual,grupo_4_percentual
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_3_im_2_col.png,28.2776,13.8184,7.4669,27.1889,23.2483
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_3_im_3_col.png,29.6524,4.1374,28.8742,1.1692,36.1668
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_3_im_4_col.png,30.2429,7.1434,30.9849,13.8641,17.7647
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_3_im_5_col.png,32.6702,3.3611,35.9768,9.7527,18.2392
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_3_im_6_col.png,32.6454,4.3602,29.594,4.2366,29.1637
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_3_im_7_col.png,32.0026,11.8065,10.5064,16.6107,29.0737
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_3_im_8_col.png,15.3015,29.7218,0.7378,33.6578,20.5811
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_3_im_9_col.png,32.6954,4.0733,30.3761,2.6825,30.1727
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_4_im_1_col.png,5.2368,44.7025,0.0,41.4959,8.5648
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_4_im_2_col.png,26.4133,13.4502,3.6922,36.1176,20.3266
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_4_im_3_col.png,31.0333,6.6311,21.5023,1.548,39.2853
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_4_im_4_col.png,32.1465,8.9237,8.4095,27.5009,23.0194
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_4_im_5_col.png,36.7775,3.9478,27.6039,12.5786,19.0922
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_4_im_6_col.png,32.9281,6.1825,25.5051,6.3335,29.0508
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_4_im_7_col.png,30.2685,14.5306,8.8028,21.8674,24.5308
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_4_im_8_col.png,9.0546,40.5666,0.0,33.1192,17.2596
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_4_im_9_col.png,33.075,7.0183,25.2319,1.9974,32.6775
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_5_im_1_col.png,5.0045,56.4991,0.1919,27.702,10.6026
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_5_im_2_col.png,23.3551,17.8749,2.6005,32.7034,23.4661
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_5_im_3_col.png,31.1886,8.5888,13.6322,1.0853,45.5051
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_5_im_4_col.png,32.1003,10.1604,6.0509,30.5519,21.1365
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_5_im_5_col.png,40.2763,3.3058,19.5877,9.1053,27.7248
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_5_im_6_col.png,32.0766,5.9334,23.8251,8.2085,29.9564
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_5_im_7_col.png,27.3445,18.718,2.4101,21.5706,29.9568
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_5_im_8_col.png,1.9108,54.2492,0.0,32.7126,11.1275
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_5_im_9_col.png,36.3152,10.5186,12.1311,2.7817,38.2534
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_6_im_1_col.png,3.9455,66.1064,0.0,16.9601,12.9879
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_6_im_2_col.png,29.0165,17.4488,4.3156,22.0795,27.1397
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_6_im_3_col.png,32.2117,9.8976,10.6182,0.3212,46.9513
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_6_im_4_col.png,27.6867,10.1238,2.351,43.401,16.4375
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_6_im_5_col.png,38.5345,3.4145,15.4549,15.6281,26.968
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_6_im_6_col.png,37.1426,5.7629,13.4819,10.3985,33.2142
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_6_im_7_col.png,29.4331,20.3926,2.1637,18.0065,30.0041
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_6_im_8_col.png,0.7175,69.2253,0.0,20.6947,9.3624
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_6_im_9_col.png,38.4155,11.0302,5.7087,3.5633,41.2823
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_7_im_1_col.png,1.4141,76.622,0.0248,10.8513,11.0878
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_7_im_2_col.png,24.3576,16.7316,1.6052,33.5739,23.7316
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_7_im_3_col.png,24.0475,21.6347,1.6422,4.7546,47.921
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_7_im_4_col.png,23.1262,16.2079,0.4627,41.3944,18.8087
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_7_im_5_col.png,35.96,5.5069,17.5186,12.8021,28.2124
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_7_im_6_col.png,29.7733,12.9196,3.2623,18.3739,35.6709
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_7_im_7_col.png,16.3307,28.4714,0.1766,25.3403,29.681
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_7_im_8_col.png,0.2541,79.2774,0.0,11.8134,8.6552
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_7_im_9_col.png,29.4537,14.4947,1.9032,5.8025,48.3459
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_8_im_1_col.png,0.5257,81.0345,0.0,6.0341,12.4058
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_8_im_2_col.png,6.2881,35.4527,0.0,38.1824,20.0768
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_8_im_3_col.png,12.8441,35.4927,0.0488,2.3556,49.2588
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_8_im_4_col.png,10.8997,29.723,0.0,41.4299,17.9474
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_8_im_5_col.png,24.5434,11.8954,5.2277,23.3471,34.9865
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_8_im_6_col.png,16.856,28.8418,0.0,15.9325,38.3698
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_8_im_7_col.png,4.9187,41.7732,0.0,30.4554,22.8527
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_8_im_8_col.png,0.2766,89.7942,0.0,2.2667,7.6626
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_8_im_9_col.png,12.833,36.7954,0.1781,5.2998,44.8936
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_9_im_1_col.png,0.1366,87.7415,0.0,1.0414,11.0806
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_9_im_2_col.png,2.3819,54.4609,0.1347,27.4189,15.6036
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_9_im_3_col.png,7.0816,37.4523,0.0,0.6657,54.8004
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_9_im_4_col.png,4.5212,40.1531,0.0591,42.4942,12.7724
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_9_im_5_col.png,16.7759,19.5133,0.5779,23.8853,39.2475
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_9_im_6_col.png,7.7747,37.9757,0.0988,16.412,37.7388
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_9_im_7_col.png,0.6958,58.4381,0.0,22.8447,18.0214
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_9_im_8_col.png,0.0916,91.383,0.0,0.1232,8.4023
/home/ibm/rqnf22/visao-computacional/TA01/imagens/15-scale_9_im_9_col.png,7.143,37.2875,0.0504,2.1122,53.4069
